,fire_name,severity,fire_ig_date,dnbr_mean,pre_fire_ndvi,agbd,agbd_cf,agbd_diff,agbd_rel,rh_98,rh_98_cf,rh_98_diff,rh_98_rel,pai,pai_cf,pai_diff,pai_rel,rh_70,rh_70_cf,rh_70_diff,rh_70_rel,ndvi,ndvi_cf,ndvi_diff,ndvi_rel,rh_50,rh_50_cf,rh_50_diff,rh_50_rel
577,KAWEAH,0.0,1996-08-13,7.065807734261384,0.010119961243594126,7.952213638302824,2.510693007714976,6.783288444090973,0.0907346838496334,0.7770561173992743,0.26390199332755354,0.6609219601416868,0.04810648638183411,0.1929979615496359,0.0521266712328012,0.17471479623125968,0.12308066872276381,0.6969835571990516,0.20672273517461398,0.6042395919894137,0.09451394309260612,0.010446125355336084,0.01037442776761969,0.006357281707923633,0.013383296129690718,0.6303429112071068,0.175069961469167,0.5474991630426514,0.154806358221313
578,KAWEAH,1.0,1996-08-13,10.293228881233158,0.009461038197988644,9.254949734736426,3.904372001196332,9.582443996941842,0.12619945629877463,1.0441086862019548,0.4314658240573336,1.0790988337802623,0.07469721166432391,0.2652824397031531,0.059010435196625986,0.26563940587120355,0.1830726058158904,0.7809823814825368,0.25283865816821705,0.7857854737300799,0.12463565147748908,0.01365225475483465,0.011679459391308407,0.0068350417157122065,0.013116624344055696,0.6820171517091552,0.18937995486686493,0.6878830621928499,0.1982772352739297
579,KAWEAH,2.0,1996-08-13,7.219535752455658,0.0046953949630673215,3.953456448075161,1.496769685699993,3.7473564901405774,0.046406508420048016,0.45990100963038405,0.17518589346347901,0.43460478413337583,0.030794139411615854,0.13262145410356163,0.027874748941571867,0.12790264914960411,0.07652635411774775,0.37171763152215737,0.11421233920425339,0.35397544803641673,0.050152060088031226,0.006270294590486175,0.004979610816262975,0.003723557326554997,0.006282998786793567,0.3373748096445546,0.09545726039461043,0.3233969422897555,0.07497638916449671
580,KAWEAH-KERN COMPLEX (PARADISE 2),0.0,2003-09-27,10.222975770798914,0.0076490840758596836,25.419113634385447,9.850247585089193,23.070899737986498,0.12099503791140465,2.1764945886711864,0.8689627410556798,1.7896007155460523,0.06875656004178655,0.3961373549351137,0.09487956858395577,0.365252947394716,0.15278908568574281,1.624591080895296,0.6341312291111251,1.4638121280624492,0.10898480241731635,0.013761268991991144,0.0063055957902460776,0.01726444200465707,0.021481720984002136,1.3277244087558424,0.5142920462991513,1.1546509689968403,0.13469677021753892
581,KAWEAH-KERN COMPLEX (PARADISE 2),1.0,2003-09-27,20.248038742472485,0.00925917549932747,21.247391659788093,5.714817538593254,18.947672678615373,0.11510099269423636,2.1701359914029705,0.6760555986704061,1.7498805768577053,0.07061632116945464,0.8317312388367554,0.13296042176672407,0.8737807438381018,0.5001957913085125,2.4100772675867996,0.4432196528337278,2.5130487296092054,0.20672901763369772,0.021563976963809565,0.00843545514896743,0.01893862601383582,0.0251826810658737,2.24393450088192,0.33184866933552415,2.431129620264708,0.39426255887331996
582,KEENE COMPLEX,0.0,2011-09-10,8.507836950239168,0.011527153621258357,13.812702269066547,2.7714085099252403,13.411792438869687,0.18839833749045976,1.1205881522872307,0.2975846031892196,1.059610538644399,0.07965094007035492,0.1654562511439497,0.04905972337557531,0.15557396560480702,0.12793546219222934,0.8500645538312243,0.21963585408055653,0.7705708509058958,0.12660844585904604,0.0172255105601795,0.011974133244470053,0.00996698849869787,0.019209495717842587,0.7059043481014629,0.1554719212466139,0.657779908838821,0.21607425416554918
583,KEENE COMPLEX,1.0,2011-09-10,12.42236046814578,0.009968144194646972,10.077910692442313,2.3264270812303707,10.485166959296405,0.1687134189214034,1.0798869120954415,0.2889898871051245,1.105028548866401,0.08798438398160688,0.13825322167438267,0.0471927964588016,0.1369682766056522,0.14045758570982642,0.767389928651743,0.18902254896171275,0.7582244062633865,0.15070668143772045,0.014470296620565435,0.010392374585286876,0.010249800373958243,0.02308564773499546,0.6764196812780596,0.13807967335307822,0.6684177769833317,0.29713409461927187
584,KEENE COMPLEX,2.0,2011-09-10,28.924739011507615,0.015543966594388718,10.019511756777174,2.026759802447681,10.002080073483047,0.19721926151607588,1.1413698565489305,0.228732129441911,1.0955791022133985,0.09927376876289865,0.41616755170771,0.026186866392955036,0.411774418824544,0.5503351562952044,1.0385867321744546,0.15166693912573606,1.0274712461179738,0.24200071731022949,0.012091167298514463,0.013759224124100985,0.01634721231379616,0.03293098655158508,0.9765095022754189,0.1188246874337961,0.9708823029116221,0.5317154258266442
585,KELSEY,0.0,1994-08-07,26.64433472460265,0.012849226387183006,23.974498181601675,6.1724983328703455,26.62453394832555,0.15200874677605233,2.9086550899748693,0.8106037304944598,3.0040336558507583,0.1279153262958258,0.7299901877525263,0.18543383347167644,0.8294285358058676,0.41787506696247684,2.5455370498625456,0.14959921367234402,2.691624244863097,0.20672569943934133,0.019148366786458117,0.011398983440445114,0.026625905243191573,0.036807516215264666,2.2842663669689656,0.4937531126397862,2.589279427771224,0.3632696924518983
586,KELSEY,1.0,1994-08-07,23.08795295015501,0.030672709375528868,7.548963904862706,21.375380711207228,16.047369065833788,0.033142903147446855,1.2002990142568095,1.7057094581948196,1.212345780847342,0.037881735294133814,0.4920078895719544,0.14683378989782658,0.40213882664467543,0.1944233386961786,0.814015395086653,1.4249820956016428,1.0275304399217842,0.04697634733632796,0.023807583654442264,0.025200898669409277,0.008374988138473788,0.012822597384053933,0.9485900278028813,1.1950058760472533,0.9079301883656351,0.08282987481433857
